,time,open,high,low,close,tick_volume,spread,real_volume
0,2021-10-22 07:15:00,1.1629,1.1629,1.16289,1.1629,11,0,0
1,2021-10-22 07:16:00,1.16289,1.1629,1.16285,1.16285,15,0,0
2,2021-10-22 07:17:00,1.16285,1.16288,1.16284,1.16284,14,0,0
3,2021-10-22 07:18:00,1.16284,1.16287,1.16282,1.16283,11,0,0
4,2021-10-22 07:19:00,1.16283,1.16285,1.16283,1.16284,6,0,0
5,2021-10-22 07:20:00,1.16284,1.16286,1.16283,1.16285,24,0,0
6,2021-10-22 07:21:00,1.16285,1.16285,1.16283,1.16284,10,0,0
7,2021-10-22 07:22:00,1.16284,1.16284,1.1628,1.1628,13,0,0
8,2021-10-22 07:23:00,1.16281,1.16286,1.16281,1.16285,13,0,0
9,2021-10-22 07:24:00,1.16285,1.1629,1.16285,1.1629,5,0,0
10,2021-10-22 07:25:00,1.16288,1.16288,1.16286,1.16288,7,0,0
11,2021-10-22 07:26:00,1.16288,1.16288,1.16282,1.16283,22,0,0
12,2021-10-22 07:27:00,1.16283,1.16288,1.16283,1.16285,24,0,0
13,2021-10-22 07:28:00,1.16285,1.16285,1.16285,1.16285,1,0,0
14,2021-10-22 07:29:00,1.16285,1.16285,1.16285,1.16285,1,0,0
15,2021-10-22 07:30:00,1.16285,1.16287,1.16284,1.16286,8,0,0
16,2021-10-22 07:31:00,1.16285,1.16287,1.16284,1.16285,8,0,0
17,2021-10-22 07:32:00,1.16285,1.16285,1.1628,1.16283,14,0,0
18,2021-10-22 07:33:00,1.16283,1.16285,1.16282,1.16284,9,0,0
19,2021-10-22 07:34:00,1.16284,1.16285,1.16278,1.16281,26,0,0
20,2021-10-22 07:35:00,1.16281,1.16285,1.1628,1.16285,14,0,0
21,2021-10-22 07:36:00,1.16285,1.16287,1.16283,1.16285,19,0,0
22,2021-10-22 07:37:00,1.16284,1.16284,1.16282,1.16282,3,0,0
23,2021-10-22 07:38:00,1.16282,1.16283,1.16282,1.16283,2,0,0
24,2021-10-22 07:39:00,1.16284,1.16285,1.16284,1.16284,7,0,0
25,2021-10-22 07:40:00,1.16283,1.16284,1.16278,1.16278,16,0,0
26,2021-10-22 07:41:00,1.1628,1.1628,1.16278,1.16279,6,0,0
27,2021-10-22 07:42:00,1.16279,1.1628,1.16273,1.1627399999999999,9,0,0
28,2021-10-22 07:43:00,1.16275,1.16275,1.1627399999999999,1.1627399999999999,2,0,0
29,2021-10-22 07:44:00,1.16275,1.16284,1.16275,1.16283,23,0,0
30,2021-10-22 07:45:00,1.16283,1.16283,1.16278,1.16278,5,0,0
31,2021-10-22 07:46:00,1.16278,1.16278,1.16278,1.16278,1,2,0
32,2021-10-22 07:47:00,1.16278,1.16279,1.16277,1.16277,4,0,0
33,2021-10-22 07:48:00,1.16277,1.16278,1.16272,1.16273,8,0,0
34,2021-10-22 07:49:00,1.16273,1.16273,1.16267,1.16268,13,0,0
35,2021-10-22 07:50:00,1.16269,1.16269,1.16268,1.16268,12,0,0
36,2021-10-22 07:51:00,1.16268,1.16269,1.16267,1.16267,8,0,0
37,2021-10-22 07:52:00,1.16269,1.16269,1.16267,1.16267,3,0,0
38,2021-10-22 07:53:00,1.16267,1.16273,1.16267,1.16273,8,0,0
39,2021-10-22 07:54:00,1.16273,1.1627399999999999,1.16271,1.16271,7,0,0
40,2021-10-22 07:55:00,1.16271,1.16271,1.16257,1.16257,20,0,0
41,2021-10-22 07:56:00,1.16256,1.16258,1.16251,1.16253,31,0,0
42,2021-10-22 07:57:00,1.16255,1.16256,1.16251,1.16251,5,0,0
43,2021-10-22 07:58:00,1.16251,1.16253,1.16247,1.16253,21,0,0
44,2021-10-22 07:59:00,1.16252,1.1626,1.16252,1.1626,33,0,0
45,2021-10-22 08:00:00,1.16261,1.16263,1.16259,1.16259,34,0,0
46,2021-10-22 08:01:00,1.16259,1.16261,1.16258,1.16259,16,0,0
47,2021-10-22 08:02:00,1.16259,1.16259,1.16258,1.16259,15,0,0
48,2021-10-22 08:03:00,1.16258,1.16267,1.16258,1.16266,17,0,0
49,2021-10-22 08:04:00,1.16266,1.16271,1.16266,1.1627,40,0,0
50,2021-10-22 08:05:00,1.16269,1.1627399999999999,1.16269,1.16273,14,0,0
51,2021-10-22 08:06:00,1.16273,1.1628,1.16273,1.1628,25,0,0
52,2021-10-22 08:07:00,1.16279,1.1628,1.16278,1.16278,12,0,0
53,2021-10-22 08:08:00,1.16278,1.16278,1.16276,1.16278,13,0,0
54,2021-10-22 08:09:00,1.16278,1.16278,1.1627399999999999,1.1627399999999999,3,0,0
55,2021-10-22 08:10:00,1.16273,1.16278,1.16272,1.16277,30,0,0
56,2021-10-22 08:11:00,1.16277,1.16278,1.16277,1.16278,78,0,0
57,2021-10-22 08:12:00,1.16278,1.16278,1.16267,1.16267,35,0,0
58,2021-10-22 08:13:00,1.16269,1.16273,1.1626400000000001,1.16272,16,0,0
59,2021-10-22 08:14:00,1.16272,1.16272,1.16269,1.1627,7,0,0
60,2021-10-22 08:15:00,1.1627,1.16271,1.16268,1.16268,13,0,0
61,2021-10-22 08:16:00,1.16269,1.1627399999999999,1.16268,1.16269,7,0,0
62,2021-10-22 08:17:00,1.16269,1.1627,1.16269,1.1627,10,0,0
63,2021-10-22 08:18:00,1.1627,1.16271,1.16269,1.16269,6,0,0
64,2021-10-22 08:19:00,1.16269,1.1627,1.16269,1.16269,3,0,0
65,2021-10-22 08:20:00,1.16268,1.16268,1.16267,1.16267,4,0,0
66,2021-10-22 08:21:00,1.16267,1.16267,1.16262,1.16262,7,0,0
67,2021-10-22 08:22:00,1.16263,1.16263,1.16261,1.16262,12,0,0
68,2021-10-22 08:23:00,1.16262,1.16262,1.16257,1.16257,8,0,0
69,2021-10-22 08:24:00,1.16258,1.16263,1.16258,1.16263,11,0,0
70,2021-10-22 08:25:00,1.16263,1.1626400000000001,1.16262,1.16263,11,0,0
